bedrijf,domein,faseA_rang,vertical,bevinding,mechanisme,implicatie_als_vraag,koopmoment,bevinding_bron,bevinding_gecheckt,bronregel,cs_tooling,producten,markten,teampagina,vacaturepagina,linkedin,kandidaat_namen,status
Tafels op maat,tafelsopmaat.nl,119,maatwerk-interieur,"De klantenservice staat op de site als bereikbaar: Maandag t/m zaterdag 9:30 - 16:30. Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via WhatsApp en chat en mail.","Een desk die om vijf uur dichtgaat, mist de avond waarin de meeste consumentbestellingen worden geplaatst. Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten.","Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.",De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina tafelsopmaat.nl,17 augustus 2026,"Bron: klantenservicepagina tafelsopmaat.nl, gecontroleerd 17 augustus 2026",whatsapp-widget,0,0,,,,,geverifieerd-bevinding
Horren Direct,hordeurenwinkel.nl,120,maatwerk-zonwering,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via mail.",Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten.,"Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.",De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina hordeurenwinkel.nl,17 augustus 2026,"Bron: klantenservicepagina hordeurenwinkel.nl, gecontroleerd 17 augustus 2026",,0,0,,,,,geverifieerd-bevinding
Overkappingoutlet,overkapping-outlet.nl,121,maatwerk-tuin,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via mail.",Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten.,"Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.",De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina overkapping-outlet.nl,17 augustus 2026,"Bron: klantenservicepagina overkapping-outlet.nl, gecontroleerd 17 augustus 2026",,0,0,,,,,geverifieerd-bevinding
Naturaplaza,naturaplaza.nl,122,supplementen,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via mail. De site voert 20 taal- en marktvarianten.","Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten. Elke extra markt brengt zijn eigen taal, feestdagen en retourregels mee, terwijl dezelfde mailbox het opvangt.","Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.","Er komt een merk, land of kanaal bij",klantenservicepagina naturaplaza.nl,17 augustus 2026,"Bron: klantenservicepagina naturaplaza.nl, gecontroleerd 17 augustus 2026",,0,20,,,,,geverifieerd-bevinding
Buddha to Buddha,buddhatobuddha.com,217,sieraden,,,,Het volume groeit sneller dan de bezetting,klantenservicepagina buddhatobuddha.com,2 september 2026,"Bron: klantenservicepagina buddhatobuddha.com, gecontroleerd 2 september 2026",whatsapp-widget,,0,,,,,geverifieerd-bevinding
CLUSE,cluse.com,218,horloges,,,,De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina cluse.com,2 september 2026,"Bron: klantenservicepagina cluse.com, gecontroleerd 2 september 2026",freshdesk,361,7,,,,,geverifieerd-bevinding
Floer,floer.nl,219,vloeren,,,,De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina floer.nl,2 september 2026,"Bron: klantenservicepagina floer.nl, gecontroleerd 2 september 2026",,,0,,,,,geverifieerd-bevinding
Fred de la Bretoniere,freddelabretoniere.com,220,schoenen,,,,De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina freddelabretoniere.com,2 september 2026,"Bron: klantenservicepagina freddelabretoniere.com, gecontroleerd 2 september 2026",,,3,,,,,geverifieerd-bevinding
LingaDore,lingadore.com,221,lingerie,,,,De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina lingadore.com,2 september 2026,"Bron: klantenservicepagina lingadore.com, gecontroleerd 2 september 2026",whatsapp-widget,,0,,,,,geverifieerd-bevinding
Difrax,difrax.com,222,baby,,,,De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina difrax.com,2 september 2026,"Bron: klantenservicepagina difrax.com, gecontroleerd 2 september 2026",,215,75,,,,,geverifieerd-bevinding
Fresh n Rebel,freshnrebel.com,223,elektronica,,,,De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina freshnrebel.com,2 september 2026,"Bron: klantenservicepagina freshnrebel.com, gecontroleerd 2 september 2026",zendesk|re-amaze,,11,,,,,geverifieerd-bevinding
Komono,komono.com,224,horloges-be,,,,De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina komono.com,2 september 2026,"Bron: klantenservicepagina komono.com, gecontroleerd 2 september 2026",,1309,6,,,,,geverifieerd-bevinding
10DAYS,10days.nl,225,fashion-dames,,,,"Er komt een merk, land of kanaal bij",klantenservicepagina 10days.nl,2 september 2026,"Bron: klantenservicepagina 10days.nl, gecontroleerd 2 september 2026",gorgias,358,14,,,,,geverifieerd-bevinding
Bamboo Bamboo,bamboobamboo.nl,226,home,,,,De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina bamboobamboo.nl,2 september 2026,"Bron: klantenservicepagina bamboobamboo.nl, gecontroleerd 2 september 2026",,,0,,,,,geverifieerd-bevinding
Carnibest,carnibest.nl,227,huisdier,,,,De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina carnibest.nl,2 september 2026,"Bron: klantenservicepagina carnibest.nl, gecontroleerd 2 september 2026",zendesk,123,0,,,,,geverifieerd-bevinding
Loavies,loavies.com,228,fashion-dames,,,,De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina loavies.com,2 september 2026,"Bron: klantenservicepagina loavies.com, gecontroleerd 2 september 2026",zendesk,,4,,,,,geverifieerd-bevinding
Marlies Dekkers,marliesdekkers.com,229,lingerie,,,,De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina marliesdekkers.com,2 september 2026,"Bron: klantenservicepagina marliesdekkers.com, gecontroleerd 2 september 2026",,606,36,,,,,geverifieerd-bevinding
Veneta,veneta.com,230,maatwerk-raamdecoratie,,,,De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina veneta.com,2 september 2026,"Bron: klantenservicepagina veneta.com, gecontroleerd 2 september 2026",,,0,,,,,geverifieerd-bevinding
Violet Hamden,violethamden.com,231,sieraden,,,,De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina violethamden.com,2 september 2026,"Bron: klantenservicepagina violethamden.com, gecontroleerd 2 september 2026",,3000,5,,,,,geverifieerd-bevinding
